"","age","gender_bin","country","grit","extraversion","openess","conscientiousness","agreeableness","neuroticism","VLC_QA","VLC_rest","GS1","GS2","GS3","GS4","GS5","GS6","GS7","GS8","GS9","GS10","GS11","GS12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","gender","surveyelapse","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","education","urban","engnat","hand","religion","orientation","race","voted","married","familysize","operatingsystem","browser","screenw","screenh","introelapse","testelapse"
"25",20,"female","US",37,16,47,36,39,21,0,5,1,4,5,1,5,1,5,3,3,4,2,3,1,1,2,1,2,2,1,2,2,2,5,5,5,5,4,5,4,4,5,5,3,5,5,4,3,4,3,3,2,4,5,2,3,4,4,5,4,4,4,4,2,1,2,4,2,1,3,2,1,3,2,200,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,2,5,3,2,1,3,"iOS","Safari",320,568,5,193
"26",24,"female","CZ",30,29,43,29,25,28,0,8,2,3,2,3,2,3,2,2,3,3,3,2,4,1,3,3,3,4,4,3,3,1,4,5,4,5,4,4,4,4,5,4,3,1,4,2,2,4,4,2,4,3,2,2,3,3,3,3,3,2,2,2,3,2,4,2,3,3,3,3,3,2,2,217,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,1,2,1,1,2,4,2,1,2,"Windows","Firefox",1440,900,14,261
"27",18,"male","IN",23,35,36,34,22,28,0,1,1,2,3,2,3,2,2,2,2,1,2,1,3,4,4,3,4,4,4,2,4,3,4,4,4,2,4,4,4,3,3,4,3,4,4,4,2,3,4,3,3,4,2,2,2,2,4,2,2,2,2,2,3,2,2,5,3,3,3,2,3,2,1,168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,2,1,8,5,1,2,1,1,"Linux","Firefox",1366,768,9,167
"28",26,"male","MY",35,30,38,33,28,34,0,4,3,4,3,3,4,2,3,4,4,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5,2,5,4,3,3,5,5,3,3,4,4,3,3,3,3,4,3,4,3,3,2,2,3,3,3,2,3,4,3,5,3,3,3,3,3,4,3,1,227,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,1,10,1,3,2,1,4,"Windows","Chrome",1366,768,79,328
"30",25,"male","NO",30,40,39,39,21,20,0,7,1,2,3,2,4,1,5,2,1,2,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,4,2,4,4,5,4,5,3,4,4,2,1,3,3,2,2,2,2,2,2,1,2,3,2,3,1,2,2,2,2,1,215,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,3,2,2,1,2,1,4,1,1,2,"Windows","Chrome",1366,768,367,249
"33",19,"female","US",25,33,34,34,25,25,0,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,4,3,4,3,4,3,3,3,3,4,2,4,4,4,3,4,3,4,4,3,3,3,3,3,4,3,4,2,2,3,2,2,3,2,3,3,3,3,2,2,3,2,3,3,2,3,2,2,129,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,4,1,4,1,1,2,"Windows","Chrome",1920,1080,2,406
"35",18,"female","US",42,21,44,23,19,46,1,4,1,5,4,3,5,3,4,5,4,4,2,2,2,3,2,2,2,5,1,1,2,1,4,4,5,5,3,5,4,4,5,5,2,2,4,1,2,2,4,2,2,2,2,1,4,2,1,2,1,2,2,2,5,2,5,5,4,5,5,5,5,5,2,126,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,2,2,1,1,4,1,4,2,1,3,"iOS","ChromeiOS",768,1024,6,148
"36",18,"female","US",36,21,42,36,20,36,0,6,2,4,4,3,4,2,4,3,2,4,2,2,1,2,3,3,2,3,1,2,3,1,4,4,4,5,4,4,4,4,5,4,4,4,4,4,3,2,4,2,4,5,2,2,2,2,2,2,2,2,2,2,4,3,5,4,2,3,3,3,4,5,2,99,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,1,1,1,4,1,1,2,1,3,"Macintosh","Chrome",1280,800,4,105
"37",25,"female","IN",23,25,35,33,19,36,0,5,4,1,1,3,1,1,1,1,1,3,4,2,4,4,1,2,2,4,2,2,2,2,1,4,5,2,3,5,4,4,3,4,2,5,4,3,3,5,1,3,4,3,5,2,1,2,1,2,1,3,1,1,2,5,5,3,4,4,2,4,4,3,2,274,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,8,1,1,1,2,3,"Windows","Chrome",1366,768,8,244
"38",15,"female","SG",50,41,34,16,12,10,0,3,4,5,4,2,5,5,5,5,5,4,2,4,3,5,5,4,4,5,4,3,3,5,1,3,4,3,5,5,3,1,4,5,1,1,5,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,288,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,7,1,1,2,1,3,"iOS","Safari",320,568,103,191
"39",21,"male","US",42,45,44,16,28,39,0,5,2,3,5,3,5,3,5,4,4,3,2,3,4,5,4,5,5,5,4,5,5,3,4,5,5,4,4,5,5,3,4,5,1,1,3,1,1,1,1,3,2,2,2,1,4,4,2,2,2,2,5,4,4,4,5,3,4,5,4,2,4,4,1,161,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,1,1,2,2,1,2,"iOS","ChromeiOS",320,568,21,191
"41",20,"female","PK",43,15,23,28,23,28,0,4,4,4,5,1,5,2,5,4,2,5,3,3,1,1,2,1,1,1,1,5,1,1,2,2,5,2,2,1,5,1,1,2,4,5,2,3,2,2,2,2,1,5,3,2,1,2,3,3,2,1,4,2,2,1,2,1,5,2,5,3,4,3,2,202,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,10,4,1,2,1,4,"Linux","Chrome",360,640,12,159
"42",20,"male","BG",31,39,46,36,19,13,0,7,2,4,3,1,3,2,2,4,3,4,2,1,3,3,3,3,4,5,4,5,5,4,5,5,4,4,5,5,5,5,4,4,5,3,2,4,1,4,4,4,4,5,1,1,1,1,3,3,2,3,1,3,1,2,1,1,1,1,2,1,2,1,1,169,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,1,12,2,4,2,1,1,"Windows","Chrome",1366,768,10,205
"43",16,"female","US",40,22,41,21,14,44,0,4,3,4,2,5,3,2,1,5,4,4,5,2,2,4,2,2,2,4,1,2,2,1,4,5,4,5,3,3,4,4,5,4,3,1,4,2,1,1,2,3,2,2,1,2,1,1,1,2,1,2,1,2,5,4,5,5,2,5,5,4,4,5,2,142,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,1,1,4,2,1,3,"Windows","Microsoft Internet Explorer",1366,768,70,246
"44",20,"female","BH",23,30,41,47,18,38,0,3,1,2,4,1,3,1,2,1,1,1,4,2,3,3,4,1,5,1,2,5,5,1,3,4,5,4,5,5,5,2,3,5,5,5,5,5,5,5,5,2,5,5,2,2,1,3,3,1,3,1,1,1,5,1,5,3,5,5,5,3,3,3,2,395,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,3,2,2,10,0,2,2,1,4,"iOS","Safari",375,667,8,202
"45",15,"female","US",37,22,30,33,27,33,0,3,3,2,4,2,2,5,2,3,3,4,3,4,1,4,3,2,3,2,2,3,1,1,4,3,3,3,3,2,3,3,4,2,3,3,4,3,3,2,4,4,3,4,3,3,3,2,2,2,4,3,2,3,2,2,4,3,4,4,4,3,4,3,2,208,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,10,5,5,2,1,5,"Unknown","UCBrowser",800,600,10,248
"47",30,"female","GB",22,29,37,40,19,26,0,8,1,3,2,2,3,1,2,1,1,1,4,1,3,4,3,3,4,4,3,2,2,1,4,4,4,4,3,4,4,3,4,3,4,3,5,4,3,3,5,5,4,4,1,2,3,2,2,1,2,2,2,2,3,2,4,2,3,3,2,2,3,2,2,104,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,3,2,1,1,7,1,4,2,2,4,"Windows","Microsoft Internet Explorer",1170,936,76,122
"49",35,"female","EU",32,32,48,33,19,40,1,5,3,4,3,4,2,1,2,4,3,3,2,1,1,5,4,1,4,5,2,3,4,3,5,5,4,5,5,5,5,5,5,4,4,2,5,4,2,2,3,4,3,4,2,2,2,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,204,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,2,1,1,7,1,4,1,1,2,"Windows","Chrome",1366,768,33,271
"50",16,"male","PH",17,18,49,46,49,47,0,4,1,1,3,1,3,1,1,2,1,1,1,1,1,4,2,1,1,3,1,1,3,1,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,1,408,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,2,3,1,2,1,2,"iOS","Safari",320,480,68,564
"51",43,"male","",25,18,43,37,19,31,1,5,2,2,1,3,2,2,2,1,1,2,4,3,1,1,2,1,2,4,1,2,2,2,4,5,4,5,4,5,5,2,5,4,4,4,5,4,4,4,4,4,2,2,1,2,1,2,2,2,2,3,2,2,1,3,4,5,4,2,2,2,4,4,1,203,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,2,2,3,2,1,4,2,1,4,"Windows","Firefox",1920,1200,20,185
"52",19,"female","CN",29,22,27,23,17,21,0,5,2,2,2,4,2,1,2,2,3,5,2,2,1,1,4,1,4,4,2,1,2,2,3,1,2,2,3,2,3,3,4,4,3,1,2,1,1,2,5,3,1,4,1,1,2,1,1,4,1,1,2,3,1,1,4,4,2,1,3,2,1,2,2,109,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,7,1,3,2,1,2,"Macintosh","Safari",1280,800,1161,178
"54",34,"male","NL",39,40,46,32,20,23,1,7,3,5,3,4,4,1,4,5,4,2,2,2,4,5,4,3,4,5,4,2,4,5,5,5,5,5,4,4,5,5,4,4,2,5,2,3,3,4,4,3,2,4,2,2,1,2,2,1,2,2,4,2,3,1,2,4,2,2,2,2,3,2,1,154,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,2,1,2,1,12,1,4,2,1,1,"Windows","Chrome",1600,900,7,197
"55",36,"male","ZA",47,27,38,32,31,37,0,5,3,4,3,4,5,4,3,5,4,4,4,4,2,3,2,3,3,4,2,3,3,2,3,5,5,4,3,1,5,3,5,4,4,2,5,3,2,2,3,3,5,3,2,2,3,3,4,4,3,3,4,3,4,4,4,4,2,4,4,3,4,4,1,491,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,1,1,4,1,2,3,"Windows","Chrome",1600,900,57,225
"56",47,"female","US",21,41,37,48,25,24,0,8,1,4,2,1,2,1,1,2,1,1,4,1,3,5,1,5,5,5,5,3,4,5,3,5,3,5,4,4,5,1,3,4,5,5,4,5,5,5,5,5,5,4,2,5,1,3,4,3,1,2,3,1,2,3,3,3,2,3,2,1,3,2,2,207,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4,0,2,1,1,1,5,1,2,3,"Windows","Chrome",1920,1080,12,786
"57",19,"female","US",29,15,22,43,26,46,1,7,3,5,2,5,2,1,1,2,2,2,3,1,2,2,2,2,2,1,1,1,1,1,4,2,1,2,2,1,1,4,4,1,5,4,5,2,4,4,5,4,5,5,2,2,3,2,4,1,4,2,2,4,5,4,5,4,4,5,5,4,5,5,2,132,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,2,1,1,2,4,2,5,2,1,3,"Macintosh","Safari",1280,800,32,185
"58",22,"male","SE",38,36,49,30,28,47,0,6,2,4,3,3,4,1,4,4,4,4,2,3,4,4,3,3,3,4,5,3,5,2,5,4,5,5,5,5,5,5,5,5,3,5,5,2,1,1,5,3,1,4,4,2,4,3,3,3,3,3,2,1,5,3,4,5,5,5,5,5,5,5,1,130,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,1,2,2,12,1,4,1,1,1,"Macintosh","Chrome",2560,1440,5,161
"59",14,"female","PK",46,21,50,18,24,22,1,7,5,5,4,3,5,4,5,5,5,3,1,1,2,1,1,1,5,1,5,1,3,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,1,3,3,1,3,1,5,2,4,3,1,1,1,1,1,1,1,1,5,1,5,5,2,283,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,3,2,1,10,2,5,2,1,4,"iOS","Safari",320,480,8,312
"60",25,"female","DK",44,40,43,37,18,46,0,6,3,4,2,3,5,4,4,5,4,5,3,2,4,5,3,4,5,5,3,3,4,4,4,5,5,4,4,5,4,3,5,4,4,3,4,4,1,5,5,4,2,5,1,1,5,1,2,1,1,1,2,3,5,5,5,5,4,5,5,4,4,4,2,166,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,2,2,1,2,1,4,2,1,1,"Macintosh","Chrome",1280,800,13,251
"61",26,"female","IN",42,29,42,20,25,42,0,8,1,3,3,4,3,4,1,5,5,4,4,5,2,3,3,2,3,4,3,2,4,3,3,5,4,5,4,4,5,3,5,4,1,2,4,2,1,1,3,2,1,3,3,2,3,1,3,1,3,4,2,3,5,4,4,4,5,5,5,4,2,4,2,1317,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,4,3,1,1,1,1,1,2,1,3,"Macintosh","Chrome",1280,800,18,203
"62",19,"female","BH",23,44,40,38,17,34,0,5,1,3,2,4,3,1,2,1,1,1,3,1,3,5,2,5,5,5,4,5,5,5,4,4,5,4,3,5,5,3,3,4,5,1,4,3,4,3,5,5,3,5,1,4,1,1,2,1,2,3,1,1,3,3,5,4,3,2,5,4,3,2,2,326,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,10,1,2,2,1,7,"Windows","Chrome",1600,900,73,265
"63",25,"female","RO",35,29,34,31,21,27,0,4,4,3,3,4,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,5,3,3,3,3,4,2,4,3,3,3,3,2,2,1,2,3,2,2,2,2,3,3,3,3,3,2,2,2,4,3,2,2,299,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,12,5,5,1,1,3,"Windows","Chrome",1366,768,13,276
"64",41,"female","SG",29,20,26,37,17,37,0,6,2,3,2,3,2,1,2,3,2,3,5,1,1,3,4,2,2,2,2,1,1,2,5,3,2,2,1,2,4,3,3,1,5,2,5,3,2,3,4,4,4,5,1,2,1,1,2,2,2,2,3,1,5,4,5,4,3,3,4,3,3,3,2,175,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,3,2,1,1,4,1,4,1,1,8,"Macintosh","Safari",1280,800,913,295
"65",23,"male","PK",28,39,36,37,23,25,0,4,2,2,2,4,3,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,3,4,5,4,4,2,3,4,4,5,4,2,2,2,2,2,1,4,2,2,4,2,2,2,4,3,2,2,3,2,2,3,1,541,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,4,3,2,1,10,2,1,1,1,5,"Windows","Firefox",1366,768,5,534
"66",15,"female","AU",29,39,39,35,17,28,2,6,1,3,3,2,2,2,4,5,3,1,1,2,3,4,4,3,4,5,4,4,3,5,3,5,3,5,4,4,4,3,4,4,3,4,5,4,5,1,3,3,3,4,1,3,1,1,1,2,3,2,1,2,4,2,3,3,2,4,3,4,2,1,2,188,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,2,1,1,2,5,4,2,1,3,"Windows","Chrome",1366,768,5,206
"67",43,"male","US",35,30,42,28,26,45,0,9,1,5,4,4,5,2,2,2,3,1,4,2,3,5,3,3,3,3,2,3,3,2,4,3,5,5,4,4,3,4,5,5,3,1,4,2,2,2,4,3,3,4,3,2,3,3,3,2,3,3,3,1,5,4,4,5,5,4,4,4,5,5,1,149,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,1,3,4,2,1,2,"Macintosh","Chrome",1440,900,7,162
"68",16,"female","US",37,19,36,33,31,33,0,5,3,2,2,5,3,3,2,3,2,5,4,3,1,3,2,3,1,4,1,1,2,1,3,2,5,5,5,5,2,3,2,4,4,2,5,4,2,4,4,3,2,3,4,2,3,3,3,3,3,3,4,3,3,4,5,3,3,3,3,2,4,3,2,194,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,6,1,4,2,1,4,"iOS","Safari",320,568,8,234
"69",23,"male","IN",37,45,42,34,13,36,0,5,3,3,4,4,3,4,3,4,2,3,3,1,4,5,4,4,5,5,4,5,5,4,4,5,5,5,5,1,5,3,4,5,1,5,4,2,4,3,3,5,2,5,2,1,1,1,1,3,1,1,1,1,3,2,5,4,3,2,5,5,2,5,1,380,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,4,3,2,1,10,1,1,2,1,4,"Windows","Opera",1366,768,14,241
